chave,valor
data_hora,2026-09-17 16:39:09
grafo,grafo_1
arquivo,/home/jpgar/grafos/dados/grafo_1.txt
representacao,lista
semente,42
limite_ifub_s,1800.0
cpu,AMD Ryzen 5 5500
memtotal_mb,7874.641
compilador,g++ 15.2.0
memoria_status,ok
n,10000
m,109921
linhas_aresta,109977
lacos_ignorados,4
repetidas_ignoradas,52
rss_base_mb,4.477
rss_depois_mb,5.719
rss_diferenca_mb,1.242
estrutura_mb,1.106
estrutura_bytes,1159368
tempo_carga_s,0.185778
num_buscas,100
bfs_media_s,3.904202200e-04
bfs_desvio_s,2.052180852e-05
dfs_media_s,1.426622910e-03
dfs_desvio_s,7.830641230e-05
vertices_sorteados,407 4825 1451 5663 9382 8429 3537 6145 2551 4258 5596 4663 393 1407 7310 2393 2359 2211 8610 9352 1660 7075 6426 2330 2790 5461 8554 7373 6631 3141 7560 1384 9003 7789 8317 168 6977 2847 2313 7908 6152 4785 7286 3722 8297 9266 1663 6964 8826 7695 3529 7216 9909 4682 2468 8551 578 366 2364 4153 886 9069 9282 8312 8984 2382 9954 7806 8991 810 2422 7475 6022 8598 8413 5969 8974 9061 2341 1769 3925 4858 4248 3891 5544 765 3970 4363 5696 1416 1058 7148 6308 9324 8791 7160 5029 5383 8114 9156
pai_bfs_raiz1_v10,2042
pai_bfs_raiz1_v20,8382
pai_bfs_raiz1_v30,2394
pai_dfs_raiz1_v10,709
pai_dfs_raiz1_v20,666
pai_dfs_raiz1_v30,86
pai_bfs_raiz2_v10,8935
pai_bfs_raiz2_v20,9071
pai_bfs_raiz2_v30,3555
pai_dfs_raiz2_v10,709
pai_dfs_raiz2_v20,666
pai_dfs_raiz2_v30,86
pai_bfs_raiz3_v10,7685
pai_bfs_raiz3_v20,9543
pai_bfs_raiz3_v30,5783
pai_dfs_raiz3_v10,709
pai_dfs_raiz3_v20,666
pai_dfs_raiz3_v30,86
dist_10_20,3
dist_10_30,3
dist_20_30,4
grau_minimo,8
grau_maximo,43
grau_medio,21.9842
mediana_grau,22.0
num_componentes,1
maior_componente,10000
menor_componente,10000
arquivo_estatisticas,grafo_1_lista_estatisticas.txt
diam_aprox_valor,4
diam_aprox_limite_inferior,4
diam_aprox_limite_superior,8
diam_aprox_u,3919
diam_aprox_v,5721
diam_aprox_exato,nao
diam_aprox_tempo_esgotado,nao
diam_aprox_num_bfs,5
diam_aprox_segundos,0.002308
diam_exato_valor,5
diam_exato_limite_inferior,5
diam_exato_limite_superior,5
diam_exato_u,1383
diam_exato_v,6451
diam_exato_exato,sim
diam_exato_tempo_esgotado,nao
diam_exato_num_bfs,9489
diam_exato_segundos,3.716045
