chave,valor
data_hora,2026-09-17 17:16:59
grafo,grafo_6
arquivo,/home/jpgar/grafos/dados/grafo_6.txt
representacao,lista
semente,42
limite_ifub_s,1800.0
cpu,AMD Ryzen 5 5500
memtotal_mb,7874.641
compilador,g++ 15.2.0
memoria_status,ok
n,4843750
m,46469479
linhas_aresta,46469670
lacos_ignorados,43
repetidas_ignoradas,148
rss_base_mb,4.492
rss_depois_mb,553.941
rss_diferenca_mb,549.449
estrutura_mb,483.876
estrutura_bytes,507380832
tempo_carga_s,19.198580
num_buscas,100
bfs_media_s,9.771816761e-01
bfs_desvio_s,6.509512146e-01
dfs_media_s,1.215622304e+00
dfs_desvio_s,7.233429165e-01
vertices_sorteados,307907 838575 4303951 2811913 4689382 3572179 2363537 847395 4245051 4274258 4189346 3630913 2039143 480157 1474810 3809893 386109 127211 1234860 3054352 4635410 1793325 1778926 3538580 4839040 3061711 3598554 1181123 881631 531891 3077560 2956384 621503 2552789 1144567 2108918 3215727 3549097 3163563 2034158 2538652 4212285 3623536 3029972 607047 4146766 2984163 3756964 3517576 1502695 2606029 4064716 3199909 3874682 1298718 578551 1351828 1955366 2617364 2041653 4102136 200319 4755532 3565812 378984 4473632 889954 617806 501491 2908310 571172 4312475 171022 2103598 118413 4757219 3716474 790311 1651091 1119269 496425 4212358 3077998 3127641 815544 734515 192720 2031863 2080696 1186416 214808 1938398 1687558 298074 605041 2550910 3305029 2873575 4230383 1294364
pai_bfs_raiz1_v10,nao_alcancado
pai_bfs_raiz1_v20,nao_alcancado
pai_bfs_raiz1_v30,nao_alcancado
pai_dfs_raiz1_v10,nao_alcancado
pai_dfs_raiz1_v20,nao_alcancado
pai_dfs_raiz1_v30,nao_alcancado
pai_bfs_raiz2_v10,1677854
pai_bfs_raiz2_v20,3607226
pai_bfs_raiz2_v30,3898629
pai_dfs_raiz2_v10,381031
pai_dfs_raiz2_v20,431008
pai_dfs_raiz2_v30,446011
pai_bfs_raiz3_v10,nao_alcancado
pai_bfs_raiz3_v20,nao_alcancado
pai_bfs_raiz3_v30,nao_alcancado
pai_dfs_raiz3_v10,nao_alcancado
pai_dfs_raiz3_v20,nao_alcancado
pai_dfs_raiz3_v30,nao_alcancado
dist_10_20,5
dist_10_30,5
dist_20_30,5
grau_minimo,2
grau_maximo,56
grau_medio,19.1874
mediana_grau,20.0
num_componentes,5
maior_componente,2500000
menor_componente,156250
arquivo_estatisticas,grafo_6_lista_estatisticas.txt
diam_aprox_valor,19
diam_aprox_limite_inferior,19
diam_aprox_limite_superior,28
diam_aprox_u,2954530
diam_aprox_v,2054046
diam_aprox_exato,nao
diam_aprox_tempo_esgotado,nao
diam_aprox_num_bfs,25
diam_aprox_segundos,12.462934
diam_exato_valor,19
diam_exato_limite_inferior,19
diam_exato_limite_superior,20
diam_exato_u,2954530
diam_exato_v,2054046
diam_exato_exato,nao
diam_exato_tempo_esgotado,sim
diam_exato_num_bfs,95545
diam_exato_segundos,1800.018077
